Release 10.1.03 - par K.39 (lin)
Copyright (c) 1995-2008 Xilinx, Inc.  All rights reserved.

Tue Jun 24 16:12:02 2014


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       system_map.ncd
OUTPUT FILE:      system_pad.txt
PART TYPE:        xc2vp50
SPEED GRADE:      -6
PACKAGE:          ff1152

Pinout by Pin Number:

+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name        |Pin Usage|Pin Name        |Direction  |IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|DCI Value|IO Register|Signal Integrity|
|AF30      |                   |DIFFS    |IO_L22N_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AF31      |                   |DIFFM    |IO_L31P_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AF32      |                   |DIFFS    |IO_L31N_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AF33      |                   |DIFFM    |IO_L36P_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AF34      |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AG1       |                   |DIFFS    |IO_L33N_3/VREF_3|UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AG2       |                   |DIFFM    |IO_L33P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AG3       |                   |DIFFS    |IO_L21N_3/VREF_3|UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AG4       |                   |DIFFM    |IO_L21P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AG5       |                   |DIFFS    |IO_L15N_3/VREF_3|UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AG6       |                   |DIFFM    |IO_L15P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AG7       |                   |DIFFS    |IO_L05N_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AG8       |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AG9       |                   |DIFFS    |IO_L02N_4/D0    |UNUSED     |           |4             |          |         |           |         |         |          |         |           |                |
|AG10      |DDR_DQ<13>         |IOB      |IO_L08N_4       |BIDIR      |SSTL2_I    |4             |          |NONE*    |NONE**     |NONE     |         |LOCATED   |         |YES        |NONE            |
|AG11      |DDR_DM<1>          |IOB      |IO_L25N_4       |OUTPUT     |SSTL2_I    |4             |          |NONE*    |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AG12      |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AG13      |DDR_DQ<5>          |IOB      |IO_L38N_4       |BIDIR      |SSTL2_I    |4             |          |NONE*    |NONE**     |NONE     |         |LOCATED   |         |YES        |NONE            |
|AG14      |DDR_DQ<10>         |IOB      |IO_L47N_4       |BIDIR      |SSTL2_I    |4             |          |NONE*    |NONE**     |NONE     |         |LOCATED   |         |YES        |NONE            |
|AG15      |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AG16      |DDR_DQ<3>          |IOB      |IO_L55P_4       |BIDIR      |SSTL2_I    |4             |          |NONE*    |NONE**     |NONE     |         |LOCATED   |         |YES        |NONE            |
|AG17      |DDR_Addr<5>        |IOB      |IO_L73P_4       |OUTPUT     |SSTL2_I    |4             |          |NONE*    |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AG18      |                   |DIFFS    |IO_L73N_5       |UNUSED     |           |5             |          |         |           |         |         |          |         |           |                |
|AG19      |DDR_WEn            |IOB      |IO_L55N_5       |OUTPUT     |SSTL2_I    |5             |          |NONE*    |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AG20      |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AG21      |DDR_DQ<18>         |IOB      |IO_L47P_5       |BIDIR      |SSTL2_I    |5             |          |NONE*    |NONE**     |NONE     |         |LOCATED   |         |YES        |NONE            |
|AG22      |                   |DIFFM    |IO_L38P_5       |UNUSED     |           |5             |          |         |           |         |         |          |         |           |                |
|AG23      |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AG24      |                   |DIFFM    |IO_L25P_5       |UNUSED     |           |5             |          |         |           |         |         |          |         |           |                |
|AG25      |Flash_A<2>         |IOB      |IO_L08P_5       |OUTPUT     |LVCMOS25*  |5             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|AG26      |                   |DIFFM    |IO_L02P_5/D7    |UNUSED     |           |5             |          |         |           |         |         |          |         |           |                |
|AG27      |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AG28      |RS232_2_TX         |IOB      |IO_L05N_6       |OUTPUT     |LVTTL      |6             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AG29      |                   |DIFFM    |IO_L15P_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AG30      |                   |DIFFS    |IO_L15N_6/VREF_6|UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AG31      |                   |DIFFM    |IO_L21P_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AG32      |                   |DIFFS    |IO_L21N_6/VREF_6|UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AG33      |                   |DIFFM    |IO_L33P_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AG34      |                   |DIFFS    |IO_L33N_6/VREF_6|UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AH1       |                   |DIFFS    |IO_L24N_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AH2       |                   |DIFFM    |IO_L24P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AH3       |                   |DIFFS    |IO_L19N_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AH4       |                   |DIFFM    |IO_L19P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AH5       |                   |DIFFS    |IO_L04N_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AH6       |                   |DIFFM    |IO_L04P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AH7       |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AH8       |                   |DIFFM    |IO_L05P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AH9       |                   |DIFFM    |IO_L02P_4/D1    |UNUSED     |           |4             |          |         |           |         |         |          |         |           |                |
|AH10      |                   |DIFFM    |IO_L08P_4       |UNUSED     |           |4             |          |         |           |         |         |          |         |           |                |
|AH11      |DDR_DM<3>          |IOB      |IO_L25P_4       |OUTPUT     |SSTL2_I    |4             |          |NONE*    |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AH12      |DDR_DQ<6>          |IOB      |IO_L26N_4       |BIDIR      |SSTL2_I    |4             |          |NONE*    |NONE**     |NONE     |         |LOCATED   |         |YES        |NONE            |
|AH13      |DDR_DQ<7>          |IOB      |IO_L38P_4       |BIDIR      |SSTL2_I    |4             |          |NONE*    |NONE**     |NONE     |         |LOCATED   |         |YES        |NONE            |
|AH14      |DDR_DQ<8>          |IOB      |IO_L47P_4       |BIDIR      |SSTL2_I    |4             |          |NONE*    |NONE**     |NONE     |         |LOCATED   |         |YES        |NONE            |
|AH15      |DDR_Addr<0>        |IOB      |IO_L56N_4       |OUTPUT     |SSTL2_I    |4             |          |NONE*    |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AH16      |                   |DIFFS    |IO_L68N_4       |UNUSED     |           |4             |          |         |           |         |         |          |         |           |                |
|AH17      |LVPECLK_n          |DIFFS    |IO_L74N_4/GCLK3S|INPUT      |LVPECL_25  |4             |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AH18      |                   |DIFFM    |IO_L74P_5/GCLK4P|UNUSED     |           |5             |          |         |           |         |         |          |         |           |                |
|AH19      |DDR_Clkn           |IOB      |IO_L68P_5       |OUTPUT     |SSTL2_I    |5             |          |NONE*    |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AH20      |DDR_DQ<29>         |IOB      |IO_L56P_5       |BIDIR      |SSTL2_I    |5             |          |NONE*    |NONE**     |NONE     |         |LOCATED   |         |YES        |NONE            |
|AH21      |DDR_DQ<19>         |IOB      |IO_L47N_5       |BIDIR      |SSTL2_I    |5             |          |NONE*    |NONE**     |NONE     |         |LOCATED   |         |YES        |NONE            |
|AH22      |DDR_DQ<17>         |IOB      |IO_L38N_5       |BIDIR      |SSTL2_I    |5             |          |NONE*    |NONE**     |NONE     |         |LOCATED   |         |YES        |NONE            |
|AH23      |DDR_DQ<20>         |IOB      |IO_L26P_5       |BIDIR      |SSTL2_I    |5             |          |NONE*    |NONE**     |NONE     |         |LOCATED   |         |YES        |NONE            |
|AH24      |                   |DIFFS    |IO_L25N_5       |UNUSED     |           |5             |          |         |           |         |         |          |         |           |                |
|AH25      |Flash_A<1>         |IOB      |IO_L08N_5       |OUTPUT     |LVCMOS25*  |5             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|AH26      |                   |DIFFS    |IO_L02N_5/D6    |UNUSED     |           |5             |          |         |           |         |         |          |         |           |                |
|AH27      |                   |DIFFM    |IO_L05P_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AH28      |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AH29      |                   |DIFFM    |IO_L04P_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AH30      |                   |DIFFS    |IO_L04N_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AH31      |                   |DIFFM    |IO_L19P_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AH32      |                   |DIFFS    |IO_L19N_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AH33      |                   |DIFFM    |IO_L24P_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AH34      |                   |DIFFS    |IO_L24N_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AJ1       |                   |DIFFS    |IO_L18N_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AJ2       |                   |DIFFM    |IO_L18P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AJ3       |                   |         |VCCO_3          |           |           |3             |          |         |           |         |2.50     |          |         |           |                |
|AJ4       |                   |DIFFS    |IO_L01N_3/VRP_3 |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AJ5       |                   |DIFFM    |IO_L01P_3/VRN_3 |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AJ6       |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AJ7       |                   |DIFFS    |IO_L02N_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AJ8       |                   |DIFFM    |IO_L02P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AJ9       |DDR_DQS<0>         |IOB      |IO_L20N_4       |BIDIR      |SSTL2_I    |4             |          |NONE*    |PULLDOWN   |NONE     |         |LOCATED   |         |YES        |NONE            |
|AJ10      |                   |         |VCCO_4          |           |           |4             |          |         |           |         |2.50     |          |         |           |                |
|AJ11      |                   |DIFFS    |IO_L39N_4       |UNUSED     |           |4             |          |         |           |         |         |          |         |           |                |
|AJ12      |                   |DIFFM    |IO_L26P_4       |UNUSED     |           |4             |          |         |           |         |         |          |         |           |                |
|AJ13      |DDR_Addr<10>       |IOB      |IO_L44N_4       |OUTPUT     |SSTL2_I    |4             |          |NONE*    |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AJ14      |DDR_Addr<6>        |IOB      |IO_L50_4/No_Pair|OUTPUT     |SSTL2_I    |4             |          |NONE*    |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AJ15      |DDR_Addr<2>        |IOB      |IO_L56P_4       |OUTPUT     |SSTL2_I    |4             |          |NONE*    |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AJ16      |DDR_CSn            |IOB      |IO_L68P_4       |OUTPUT     |SSTL2_I    |4             |          |NONE*    |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AJ17      |LVPECLK_p          |DIFFM    |IO_L74P_4/GCLK2P|INPUT      |LVPECL_25  |4             |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AJ18      |                   |DIFFS    |IO_L74N_5/GCLK5S|UNUSED     |           |5             |          |         |           |         |         |          |         |           |                |
|AJ19      |DDR_Clk            |IOB      |IO_L68N_5       |OUTPUT     |SSTL2_I    |5             |          |NONE*    |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AJ20      |                   |DIFFS    |IO_L56N_5       |UNUSED     |           |5             |          |         |           |         |         |          |         |           |                |
|AJ21      |DDR_DQ<24>         |IOB      |IO_L50_5/No_Pair|BIDIR      |SSTL2_I    |5             |          |NONE*    |NONE**     |NONE     |         |LOCATED   |         |YES        |NONE            |
|AJ22      |DDR_DQ<25>         |IOB      |IO_L44P_5       |BIDIR      |SSTL2_I    |5             |          |NONE*    |NONE**     |NONE     |         |LOCATED   |         |YES        |NONE            |
|AJ23      |                   |DIFFS    |IO_L26N_5       |UNUSED     |           |5             |          |         |           |         |         |          |         |           |                |
|AJ24      |                   |DIFFM    |IO_L39P_5       |UNUSED     |           |5             |          |         |           |         |         |          |         |           |                |
|AJ25      |                   |         |VCCO_5          |           |           |5             |          |         |           |         |2.50     |          |         |           |                |
|AJ26      |                   |DIFFM    |IO_L20P_5       |UNUSED     |           |5             |          |         |           |         |         |          |         |           |                |
|AJ27      |                   |DIFFM    |IO_L02P_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AJ28      |                   |DIFFS    |IO_L02N_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AJ29      |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AJ30      |RS232_1_RX         |IOB      |IO_L01P_6/VRN_6 |INPUT      |LVTTL      |6             |          |         |           |NONE     |         |LOCATED   |         |YES        |NONE            |
|AJ31      |                   |DIFFS    |IO_L01N_6/VRP_6 |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AJ32      |                   |         |VCCO_6          |           |           |6             |          |         |           |         |3.30     |          |         |           |                |
|AJ33      |                   |DIFFM    |IO_L18P_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AJ34      |                   |DIFFS    |IO_L18N_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AK1       |                   |DIFFS    |IO_L16N_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AK2       |                   |DIFFM    |IO_L16P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AK3       |                   |DIFFS    |IO_L03N_3/VREF_3|UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AK4       |                   |DIFFM    |IO_L03P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AK5       |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AK6       |                   |DIFFS    |IO_L03N_4/D2    |UNUSED     |           |4             |          |         |           |         |         |          |         |           |                |
|AK7       |                   |DIFFM    |IO_L03P_4/D3    |UNUSED     |           |4             |          |         |           |         |         |          |         |           |                |
|AK8       |DDR_DQ<15>         |IOB      |IO_L09N_4       |BIDIR      |SSTL2_I    |4             |          |NONE*    |NONE**     |NONE     |         |LOCATED   |         |YES        |NONE            |
|AK9       |DDR_DQS<1>         |IOB      |IO_L20P_4       |BIDIR      |SSTL2_I    |4             |          |NONE*    |PULLDOWN   |NONE     |         |LOCATED   |         |YES        |NONE            |
|AK10      |DDR_DQ<12>         |IOB      |IO_L27N_4       |BIDIR      |SSTL2_I    |4             |          |NONE*    |NONE**     |NONE     |         |LOCATED   |         |YES        |NONE            |
|AK11      |DDR_DQ<11>         |IOB      |IO_L39P_4       |BIDIR      |SSTL2_I    |4             |          |NONE*    |NONE**     |NONE     |         |LOCATED   |         |YES        |NONE            |
|AK12      |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AK13      |                   |DIFFM    |IO_L44P_4       |UNUSED     |           |4             |          |         |           |         |         |          |         |           |                |
|AK14      |LEDS<0>            |IOB      |IO_L53_4/No_Pair|OUTPUT     |LVCMOS25*  |4             |12        |SLOW     |NONE**     |         |         |          |         |YES        |NONE            |
|AK15      |                   |         |VCCO_4          |           |           |4             |          |         |           |         |2.50     |          |         |           |                |
|AK16      |DDR_Addr<12>       |IOB      |IO_L69N_4       |OUTPUT     |SSTL2_I    |4             |          |NONE*    |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AK17      |                   |DIFFS    |IO_L75N_4/GCLK1S|UNUSED     |           |4             |          |         |           |         |         |          |         |           |                |
|AK18      |DDR_CLK_FB         |IOB      |IO_L75P_5/GCLK6P|INPUT      |SSTL2_I    |5             |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AK19      |                   |DIFFM    |IO_L69P_5       |UNUSED     |           |5             |          |         |           |         |         |          |         |           |                |
|AK20      |                   |         |VCCO_5          |           |           |5             |          |         |           |         |2.50     |          |         |           |                |
|AK21      |                   |DIFFS    |IO_L53_5/No_Pair|UNUSED     |           |5             |          |         |           |         |         |          |         |           |                |
|AK22      |                   |DIFFS    |IO_L44N_5       |UNUSED     |           |5             |          |         |           |         |         |          |         |           |                |
|AK23      |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AK24      |DDR_DQ<16>         |IOB      |IO_L39N_5       |BIDIR      |SSTL2_I    |5             |          |NONE*    |NONE**     |NONE     |         |LOCATED   |         |YES        |NONE            |
|AK25      |DDR_DQ<23>         |IOB      |IO_L27P_5       |BIDIR      |SSTL2_I    |5             |          |NONE*    |NONE**     |NONE     |         |LOCATED   |         |YES        |NONE            |
|AK26      |                   |DIFFS    |IO_L20N_5       |UNUSED     |           |5             |          |         |           |         |         |          |         |           |                |
|AK27      |                   |DIFFM    |IO_L09P_5       |UNUSED     |           |5             |          |         |           |         |         |          |         |           |                |
|AK28      |                   |DIFFS    |IO_L03N_5/D4    |UNUSED     |           |5             |          |         |           |         |         |          |         |           |                |
|AK29      |                   |DIFFM    |IO_L03P_5/D5    |UNUSED     |           |5             |          |         |           |         |         |          |         |           |                |
|AK30      |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AK31      |                   |DIFFM    |IO_L03P_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AK32      |                   |DIFFS    |IO_L03N_6/VREF_6|UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AK33      |                   |DIFFM    |IO_L16P_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AK34      |                   |DIFFS    |IO_L16N_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AL1       |                   |DIFFS    |IO_L06N_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AL2       |                   |DIFFM    |IO_L06P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AL3       |                   |         |VCCAUX          |           |           |              |          |         |           |         |2.5      |          |         |           |                |
|AL4       |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AL5       |                   |DIFFS    |IO_L01N_4/DOUT  |UNUSED     |           |4             |          |         |           |         |         |          |         |           |                |
|AL6       |                   |DIFFM    |IO_L01P_4/INIT_B|UNUSED     |           |4             |          |         |           |         |         |          |         |           |                |
|AL7       |                   |DIFFS    |IO_L06N_4/VRP_4 |UNUSED     |           |4             |          |         |           |         |         |          |         |           |                |
|AL8       |                   |DIFFM    |IO_L09P_4/VREF_4|UNUSED/VREF|           |4             |          |         |           |         |1.25     |          |         |           |                |
|AL9       |DDR_DQ<14>         |IOB      |IO_L21N_4       |BIDIR      |SSTL2_I    |4             |          |NONE*    |NONE**     |NONE     |         |LOCATED   |         |YES        |NONE            |
|AL10      |                   |DIFFM    |IO_L27P_4/VREF_4|UNUSED/VREF|           |4             |          |         |           |         |1.25     |          |         |           |                |
|AL11      |DDR_Addr<11>       |IOB      |IO_L45N_4       |OUTPUT     |SSTL2_I    |4             |          |NONE*    |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AL12      |DDR_DQ<9>          |IOB      |IO_L48P_4       |BIDIR      |SSTL2_I    |4             |          |NONE*    |NONE**     |NONE     |         |LOCATED   |         |YES        |NONE            |
|AL13      |DDR_DM<2>          |IOB      |IO_L48N_4       |OUTPUT     |SSTL2_I    |4             |          |NONE*    |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AL14      |DDR_Addr<7>        |IOB      |IO_L57N_4       |OUTPUT     |SSTL2_I    |4             |          |NONE*    |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AL15      |                   |DIFFM    |IO_L57P_4/VREF_4|UNUSED/VREF|           |4             |          |         |           |         |1.25     |          |         |           |                |
|AL16      |                   |DIFFM    |IO_L69P_4/VREF_4|UNUSED/VREF|           |4             |          |         |           |         |1.25     |          |         |           |                |
|AL17      |                   |DIFFM    |IO_L75P_4/GCLK0P|UNUSED     |           |4             |          |         |           |         |         |          |         |           |                |
|AL18      |                   |DIFFS    |IO_L75N_5/GCLK7S|UNUSED     |           |5             |          |         |           |         |         |          |         |           |                |
|AL19      |                   |DIFFS    |IO_L69N_5/VREF_5|UNUSED/VREF|           |5             |          |         |           |         |1.25     |          |         |           |                |
|AL20      |                   |DIFFS    |IO_L57N_5/VREF_5|UNUSED/VREF|           |5             |          |         |           |         |1.25     |          |         |           |                |
|AL21      |                   |DIFFM    |IO_L57P_5       |UNUSED     |           |5             |          |         |           |         |         |          |         |           |                |
|AL22      |DDR_DQ<28>         |IOB      |IO_L48P_5       |BIDIR      |SSTL2_I    |5             |          |NONE*    |NONE**     |NONE     |         |LOCATED   |         |YES        |NONE            |
|AL23      |                   |DIFFS    |IO_L48N_5       |UNUSED     |           |5             |          |         |           |         |         |          |         |           |                |
|AL24      |DDR_DQ<22>         |IOB      |IO_L45P_5       |BIDIR      |SSTL2_I    |5             |          |NONE*    |NONE**     |NONE     |         |LOCATED   |         |YES        |NONE            |
|AL25      |                   |DIFFS    |IO_L27N_5/VREF_5|UNUSED/VREF|           |5             |          |         |           |         |1.25     |          |         |           |                |
|AL26      |                   |DIFFM    |IO_L21P_5       |UNUSED     |           |5             |          |         |           |         |         |          |         |           |                |
|AL27      |                   |DIFFS    |IO_L09N_5/VREF_5|UNUSED/VREF|           |5             |          |         |           |         |1.25     |          |         |           |                |
|AL28      |Flash_A<5>         |IOB      |IO_L06P_5/VRN_5 |OUTPUT     |LVCMOS25*  |5             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|AL29      |                   |DIFFS    |IO_L01N_5/RDWR_B|UNUSED     |           |5             |          |         |           |         |         |          |         |           |                |
|AL30      |                   |DIFFM    |IO_L01P_5/CS_B  |UNUSED     |           |5             |          |         |           |         |         |          |         |           |                |
|AL31      |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AL32      |                   |         |VCCAUX          |           |           |              |          |         |           |         |2.5      |          |         |           |                |
|AL33      |                   |DIFFM    |IO_L06P_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AL34      |                   |DIFFS    |IO_L06N_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AM1       |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AM2       |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AM3       |                   |         |VCCAUX          |           |           |              |          |         |           |         |2.5      |          |         |           |                |
|AM4       |                   |         |VCCAUX          |           |           |              |          |         |           |         |2.5      |          |         |           |                |
|AM5       |                   |         |GNDA14          |           |           |              |          |         |           |         |         |          |         |           |                |
|AM6       |                   |         |VCCO_4          |           |           |4             |          |         |           |         |2.50     |          |         |           |                |
|AM7       |                   |DIFFM    |IO_L06P_4/VRN_4 |UNUSED     |           |4             |          |         |           |         |         |          |         |           |                |
|AM8       |                   |         |GNDA16          |           |           |              |          |         |           |         |         |          |         |           |                |
|AM9       |DDR_DM<0>          |IOB      |IO_L21P_4       |OUTPUT     |SSTL2_I    |4             |          |NONE*    |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AM10      |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AM11      |                   |DIFFM    |IO_L45P_4/VREF_4|UNUSED/VREF|           |4             |          |         |           |         |1.25     |          |         |           |                |
|AM12      |                   |         |GNDA17          |           |           |              |          |         |           |         |         |          |         |           |                |
|AM13      |DDR_Addr<8>        |IOB      |IO_L54P_4       |OUTPUT     |SSTL2_I    |4             |          |NONE*    |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AM14      |DDR_Addr<9>        |IOB      |IO_L54N_4       |OUTPUT     |SSTL2_I    |4             |          |NONE*    |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AM15      |                   |         |GNDA18          |           |           |              |          |         |           |         |         |          |         |           |                |
|AM16      |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AM17      |                   |         |VCCAUX          |           |           |              |          |         |           |         |2.5      |          |         |           |                |
|AM18      |                   |         |VCCAUX          |           |           |              |          |         |           |         |2.5      |          |         |           |                |
|AM19      |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AM20      |                   |         |GNDA19          |           |           |              |          |         |           |         |         |          |         |           |                |
|AM21      |DDR_BankAddr<1>    |IOB      |IO_L54P_5       |OUTPUT     |SSTL2_I    |5             |          |NONE*    |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AM22      |DDR_DQ<27>         |IOB      |IO_L54N_5       |BIDIR      |SSTL2_I    |5             |          |NONE*    |NONE**     |NONE     |         |LOCATED   |         |YES        |NONE            |
|AM23      |                   |         |GNDA20          |           |           |              |          |         |           |         |         |          |         |           |                |
|AM24      |                   |DIFFS    |IO_L45N_5/VREF_5|UNUSED/VREF|           |5             |          |         |           |         |1.25     |          |         |           |                |
|AM25      |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AM26      |DDR_DQ<21>         |IOB      |IO_L21N_5       |BIDIR      |SSTL2_I    |5             |          |NONE*    |NONE**     |NONE     |         |LOCATED   |         |YES        |NONE            |
|AM27      |                   |         |GNDA21          |           |           |              |          |         |           |         |         |          |         |           |                |
|AM28      |                   |DIFFS    |IO_L06N_5/VRP_5 |UNUSED     |           |5             |          |         |           |         |         |          |         |           |                |
|AM29      |                   |         |VCCO_5          |           |           |5             |          |         |           |         |2.50     |          |         |           |                |
|AM30      |                   |         |GNDA23          |           |           |              |          |         |           |         |         |          |         |           |                |
|AM31      |                   |         |VCCAUX          |           |           |              |          |         |           |         |2.5      |          |         |           |                |
|AM32      |                   |         |VCCAUX          |           |           |              |          |         |           |         |2.5      |          |         |           |                |
|AM33      |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AM34      |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AN1       |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AN2       |                   |         |AVCCAUXRX14     |           |           |              |          |         |           |         |2.5      |          |         |           |                |
